indicator_code,year,forecast,ci_lower,ci_upper,scenario,scenario_type
ACC_OWNERSHIP,2025,49.67241379310345,42.1060119059948,57.238815680212106,baseline,
ACC_OWNERSHIP,2026,52.0344827586207,43.20701389032727,60.86195162691413,baseline,
ACC_OWNERSHIP,2027,54.396551724137936,44.30801587465973,64.48508757361614,baseline,
ACC_OWNERSHIP,2025,51.67241379310345,44.1060119059948,59.238815680212106,with_events,
ACC_OWNERSHIP,2026,53.5344827586207,44.70701389032727,62.36195162691413,with_events,
ACC_OWNERSHIP,2027,55.396551724137936,45.30801587465973,65.48508757361614,with_events,
ACC_OWNERSHIP,2025,48.17241379310345,45.76379310344828,50.581034482758625,pessimistic,pessimistic
ACC_OWNERSHIP,2025,50.47241379310345,47.948793103448274,52.996034482758624,base,base
ACC_OWNERSHIP,2025,52.17241379310345,49.563793103448276,54.78103448275863,optimistic,optimistic
ACC_OWNERSHIP,2026,49.0344827586207,46.58275862068966,51.486206896551735,pessimistic,pessimistic
ACC_OWNERSHIP,2026,53.6344827586207,50.952758620689664,56.31620689655173,base,base
ACC_OWNERSHIP,2026,57.0344827586207,54.18275862068966,59.886206896551734,optimistic,optimistic
ACC_OWNERSHIP,2027,49.896551724137936,47.40172413793103,52.39137931034484,pessimistic,pessimistic
ACC_OWNERSHIP,2027,56.796551724137935,53.95672413793103,59.636379310344836,base,base
ACC_OWNERSHIP,2027,61.896551724137936,58.80172413793104,64.99137931034484,optimistic,optimistic
